SITE_ID,LCM_CLASS,FOOTPRINT,AT_SITE,YEAR
ALIC1,1.0,100.0,Y,2015.0
BALRD,3.0,100.0,Y,2015.0
BICKL,3.0,16.6,N,2015.0
BICKL,4.0,83.4,Y,2015.0
BUNNY,3.0,100.0,Y,2015.0
CARDT,4.0,100.0,Y,2015.0
CGARW,4.0,50.4,N,2015.0
CGARW,7.0,49.6,Y,2015.0
CHIMN,4.0,100.0,Y,2015.0
CHOBH,9.0,81.2,Y,2015.0
CHOBH,10.0,18.8,N,2015.0
COCHN,4.0,100.0,Y,2015.0
COCLP,3.0,71.6,Y,2015.0
COCLP,4.0,28.4,N,2015.0
CRICH,3.0,42.0,N,2015.0
CRICH,4.0,58.0,Y,2015.0
EASTB,3.0,16.0,N,2015.0
EASTB,4.0,84.0,Y,2015.0
ELMST,3.0,100.0,Y,2015.0
EUSTN,4.0,100.0,Y,2015.0
FINCH,3.0,100.0,Y,2015.0
FIVET,4.0,100.0,Y,2015.0
GISBN,2.0,100.0,Y,2015.0
GLENS,7.0,2.9,N,2015.0
GLENS,9.0,97.1,Y,2015.0
GLENW,4.0,78.0,Y,2015.0
GLENW,7.0,11.9,N,2015.0
GLENW,10.0,10.1,N,2015.0
HADLW,3.0,2.8,N,2015.0
HADLW,4.0,97.2,Y,2015.0
HARTW,3.0,52.5,Y,2015.0
HARTW,4.0,47.5,N,2015.0
HARWD,2.0,100.0,Y,2015.0
HENFS,7.0,100.0,Y,2015.0
HILLB,1.0,4.6,N,2015.0
HILLB,2.0,9.5,N,2015.0
HILLB,3.0,0.4,N,2015.0
HILLB,4.0,85.5,Y,2015.0
HLACY,4.0,100.0,Y,2015.0
HOLLN,1.0,0.1,N,2015.0
HOLLN,3.0,49.9,N,2015.0
HOLLN,4.0,50.0,Y,2015.0
HYBRY,6.0,100.0,Y,2015.0
LIZRD,9.0,6.3,N,2015.0
LIZRD,10.0,93.7,Y,2015.0
LODTN,3.0,93.6,Y,2015.0
LODTN,4.0,6.4,N,2015.0
LULLN,1.0,16.2,N,2015.0
LULLN,6.0,83.8,Y,2015.0
MOORH,7.0,97.1,Y,2015.0
MOORH,11.0,2.9,N,2015.0
MOREM,3.0,12.1,N,2015.0
MOREM,4.0,85.1,Y,2015.0
MOREM,21.0,2.8,N,2015.0
MORLY,3.0,100.0,Y,2015.0
NWYKE,1.0,4.5,N,2015.0
NWYKE,3.0,5.6,N,2015.0
NWYKE,4.0,89.9,Y,2015.0
PLYNL,7.0,100.0,Y,2015.0
PORTN,6.0,100.0,Y,2015.0
RDMER,3.0,100.0,Y,2015.0
REDHL,1.0,11.0,N,2015.0
REDHL,4.0,89.0,Y,2015.0
RISEH,3.0,22.0,N,2015.0
RISEH,4.0,78.0,Y,2015.0
ROTHD,3.0,100.0,Y,2015.0
SHEEP,3.0,3.0,N,2015.0
SHEEP,4.0,97.0,Y,2015.0
SOURH,2.0,1.9,N,2015.0
SOURH,7.0,98.1,Y,2015.0
SPENF,3.0,100.0,Y,2015.0
STGHT,1.0,0.6,N,2015.0
STGHT,3.0,85.7,Y,2015.0
STGHT,4.0,13.7,N,2015.0
STIPS,4.0,9.1,N,2015.0
STIPS,7.0,71.5,Y,2015.0
STIPS,9.0,19.4,N,2015.0
SYDLG,2.0,9.3,N,2015.0
SYDLG,3.0,84.0,Y,2015.0
SYDLG,4.0,6.7,N,2015.0
TADHM,3.0,1.1,N,2015.0
TADHM,4.0,98.9,Y,2015.0
WADDN,3.0,12.5,N,2015.0
WADDN,4.0,87.5,Y,2015.0
WIMPL,3.0,21.1,N,2015.0
WIMPL,4.0,79.9,Y,2015.0
WRTTL,3.0,0.8,N,2015.0
WRTTL,4.0,99.2,Y,2015.0
WYTH1,1.0,100.0,Y,2015.0
